ID TIME n private balances
1 1786984183.543 0 {} {}
1 1786984183.543 3 None {'3': 0, '0': 0, '2': 0, '4': 0}
1 1786984183.543 7 None {'3': 3, '0': 0, '2': 0, '4': 0}
1 1786984183.543 11 None {'3': 3, '0': 0, '2': 3, '4': 0}
1 1786984183.543 14 None {'3': 3, '0': 0, '2': 3, '4': 3}
1 1786984183.543 19 None {'3': 3, '0': 0, '2': 3, '4': 5, '1': 0}
1 1786984183.543 24 None {'3': 7, '0': 0, '2': 3, '4': 5, '1': 0}
1 1786984183.544 27 None {'3': 7, '0': 0, '2': 3, '4': 9, '1': 0}
1 1786984183.544 30 None {'3': 7, '0': 0, '2': 3, '4': 9, '1': 2}
1 1786984183.544 33 None {'3': 7, '0': 0, '2': 3, '4': 9, '1': 4}
1 1786984183.544 37 None {'3': 7, '0': 0, '2': 3, '4': 9, '1': 6}
