ID TIME n private balances
3 1786984349.229 0 {} {}
3 1786984349.229 3 {} {'3': 0, '0': 0, '2': 0, '4': 0}
3 1786984349.229 7 None {'3': 3, '0': 0, '2': 0, '4': 0}
3 1786984349.229 11 None {'3': 3, '0': 0, '2': 3, '4': 0}
3 1786984349.229 12 None {'3': 3, '0': 0, '2': 3, '4': 3}
3 1786984349.229 17 None {'3': 3, '0': 0, '2': 3, '4': 3}
3 1786984349.229 21 None {'3': 7, '0': 0, '2': 3, '4': 3}
