ID TIME n private balances
5 1786769360.011 0 {} {}
5 1786769360.011 1 None {'1': 0, '0': 0}
5 1786769360.011 7 None {'1': 1, '0': 0, '2': 0, '5': 0, '4': 0, '3': 0}
5 1786769360.011 9 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 0, '3': 0}
5 1786769360.011 14 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 0, '3': 1}
5 1786769360.012 18 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 4, '3': 1}
5 1786769360.012 21 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 4, '3': 1}
5 1786769360.012 27 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 4, '3': 3}
5 1786769360.012 33 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 9, '3': 3}
5 1786769360.012 39 None {'1': 1, '0': 0, '2': 8, '5': 5, '4': 9, '3': 3}
5 1786769360.012 45 None {'1': 6, '0': 0, '2': 8, '5': 5, '4': 9, '3': 3}
5 1786769360.012 51 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 9, '3': 3}
5 1786769360.012 55 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 9, '3': 8}
5 1786769360.013 60 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 12, '3': 8}
5 1786769360.013 63 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 12, '3': 8}
5 1786769360.013 68 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 12, '3': 10}
5 1786769360.013 70 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 16, '3': 10}
5 1786769360.013 73 None {'1': 11, '0': 0, '2': 13, '5': 5, '4': 16, '3': 10}
5 1786769360.013 80 None {'1': 11, '0': 0, '2': 13, '5': 5, '4': 16, '3': 12}
5 1786769360.013 83 None {'1': 11, '0': 0, '2': 19, '5': 5, '4': 16, '3': 12}
5 1786769360.013 86 None {'1': 11, '0': 0, '2': 19, '5': 5, '4': 18, '3': 12}
5 1786769360.014 90 None {'1': 13, '0': 0, '2': 19, '5': 5, '4': 18, '3': 12}
5 1786769360.014 95 None {'1': 13, '0': 0, '2': 22, '5': 5, '4': 18, '3': 12}
