ID TIME n private balances
1 1786769360.04 0 {} {}
1 1786769360.04 1 {} {'1': 0, '0': 0}
1 1786769360.04 7 None {'1': 1, '0': 0, '2': 0, '5': 0, '4': 0, '3': 0}
1 1786769360.04 9 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 0, '3': 0}
1 1786769360.04 14 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 0, '3': 1}
1 1786769360.04 18 None {'1': 1, '0': 0, '2': 5, '5': 0, '4': 4, '3': 1}
1 1786769360.04 21 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 4, '3': 1}
1 1786769360.04 27 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 4, '3': 3}
1 1786769360.04 33 None {'1': 1, '0': 0, '2': 8, '5': 0, '4': 9, '3': 3}
1 1786769360.04 39 None {'1': 1, '0': 0, '2': 8, '5': 5, '4': 9, '3': 3}
1 1786769360.041 45 None {'1': 6, '0': 0, '2': 8, '5': 5, '4': 9, '3': 3}
1 1786769360.041 51 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 9, '3': 3}
1 1786769360.041 55 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 9, '3': 8}
1 1786769360.041 60 None {'1': 6, '0': 0, '2': 13, '5': 5, '4': 12, '3': 8}
1 1786769360.041 63 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 12, '3': 8}
1 1786769360.041 68 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 12, '3': 10}
1 1786769360.041 70 None {'1': 10, '0': 0, '2': 13, '5': 5, '4': 16, '3': 10}
1 1786769360.041 73 None {'1': 11, '0': 0, '2': 13, '5': 5, '4': 16, '3': 10}
1 1786769360.041 80 None {'1': 11, '0': 0, '2': 13, '5': 5, '4': 16, '3': 12}
1 1786769360.041 83 None {'1': 11, '0': 0, '2': 19, '5': 5, '4': 16, '3': 12}
1 1786769360.041 86 None {'1': 11, '0': 0, '2': 19, '5': 5, '4': 18, '3': 12}
1 1786769360.041 90 None {'1': 13, '0': 0, '2': 19, '5': 5, '4': 18, '3': 12}
1 1786769360.041 95 None {'1': 13, '0': 0, '2': 22, '5': 5, '4': 18, '3': 12}
1 1786769360.041 100 None {'1': 13, '0': 0, '2': 22, '5': 5, '4': 22, '3': 12}
1 1786769360.041 103 None {'1': 17, '0': 0, '2': 22, '5': 5, '4': 22, '3': 12}
1 1786769360.041 107 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 22, '3': 12}
1 1786769360.041 113 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 22, '3': 15}
1 1786769360.041 116 None {'1': 17, '0': 0, '2': 22, '5': 7, '4': 27, '3': 15}
1 1786769360.041 118 None {'1': 17, '0': 0, '2': 24, '5': 7, '4': 27, '3': 15}
1 1786769360.041 122 None {'1': 17, '0': 0, '2': 24, '5': 7, '4': 27, '3': 16}
1 1786769360.041 126 None {'1': 20, '0': 0, '2': 24, '5': 7, '4': 27, '3': 16}
1 1786769360.041 129 None {'1': 20, '0': 0, '2': 27, '5': 7, '4': 27, '3': 16}
1 1786769360.041 133 None {'1': 20, '0': 0, '2': 27, '5': 7, '4': 27, '3': 18}
1 1786769360.042 138 None {'1': 20, '0': 0, '2': 27, '5': 10, '4': 27, '3': 18}
1 1786769360.042 144 None {'1': 20, '0': 0, '2': 31, '5': 10, '4': 27, '3': 18}
1 1786769360.042 147 None {'1': 20, '0': 0, '2': 31, '5': 10, '4': 32, '3': 18}
1 1786769360.042 150 None {'1': 20, '0': 0, '2': 31, '5': 12, '4': 32, '3': 18}
1 1786769360.042 154 None {'1': 20, '0': 0, '2': 33, '5': 12, '4': 32, '3': 18}
1 1786769360.042 157 None {'1': 20, '0': 0, '2': 33, '5': 12, '4': 35, '3': 18}
1 1786769360.042 160 None {'1': 20, '0': 0, '2': 33, '5': 14, '4': 35, '3': 18}
1 1786769360.042 164 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 35, '3': 18}
1 1786769360.042 169 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 38, '3': 18}
1 1786769360.042 172 None {'1': 20, '0': 0, '2': 35, '5': 14, '4': 38, '3': 22}
1 1786769360.042 176 None {'1': 20, '0': 0, '2': 37, '5': 14, '4': 38, '3': 22}
