ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.688 4 blue 8
0 3.382 4 blue 39
0 4.387 2 blue 71
0 5.545 3 blue 87
0 6.791 5 blue 117
0 8.3 4 blue 141
0 9.811 1 blue 176
0 11.627 1 blue 216
0 12.997 1 blue 254
0 14.272 1 blue 270
0 16.103 1 blue 298
0 17.124 4 blue 322
0 19.038 5 blue 338
0 20.048 4 blue 354
0 21.219 1 blue 375
0 22.582 3 blue 407
0 23.664 1 blue 423
0 24.666 3 blue 454
0 25.974 1 blue 470
0 27.117 5 blue 494
0 28.516 2 blue 518
0 29.852 5 blue 542
0 31.498 2 blue 574
0 32.675 1 blue 606
0 34.078 4 blue 630
