ID TIME n private balances
5 1787160921.164 0 {} {}
5 1787160921.164 0 None {}
5 1787160921.164 1 None {'3': 0}
5 1787160921.164 2 None {'3': 0, '5': 0}
5 1787160921.164 3 None {'3': 0, '5': 0, '1': 0}
5 1787160921.164 4 None {'3': 0, '5': 0, '1': 0}
5 1787160921.164 5 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.164 6 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.164 7 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.164 8 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 9 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 10 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 11 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 12 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 13 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 14 None {'3': 0, '5': 0, '1': 0, '4': 0}
5 1787160921.165 15 None {'3': 0, '5': 0, '1': 0, '4': 0}
