ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.881 4 blue 8
0 2.98 3 blue 40
0 4.62 3 blue 72
0 6.091 3 blue 112
0 7.332 1 blue 141
0 8.689 2 blue 157
0 10.032 4 blue 189
0 11.348 1 blue 205
0 13.534 4 blue 234
0 15.585 3 blue 268
0 16.897 5 blue 300
0 18.476 1 blue 316
0 20.495 5 blue 340
0 22.024 1 blue 364
0 23.082 3 blue 380
0 24.247 2 blue 404
0 25.321 5 blue 420
0 26.786 4 blue 452
0 27.92 2 blue 476
0 29.137 1 blue 489
0 30.698 4 blue 513
0 31.811 1 blue 529
0 33.164 4 blue 553
0 34.642 1 blue 569
0 35.741 3 blue 585
0 36.877 4 blue 601
0 38.107 5 blue 622
0 39.203 1 blue 638
0 40.462 5 blue 654
