ID TIME n private balances
2 1786984772.311 0 {} {}
2 1786984772.311 2 None {'1': 0, '0': 0, '2': 0}
2 1786984772.312 5 None {'1': 2, '0': 0, '2': 0}
2 1786984772.312 8 None {'1': 4, '0': 0, '2': 0}
2 1786984772.312 9 None {'1': 6, '0': 0, '2': 0}
2 1786984772.312 12 None {'1': 6, '0': 0, '2': 0}
2 1786984772.312 15 None {'1': 6, '0': 0, '2': 2}
