ID TIME n private balances
3 1787161712.172 0 {} {}
3 1787161712.172 0 None {}
3 1787161712.172 1 None {'4': 0}
3 1787161712.172 2 None {'4': 0, '5': 0}
3 1787161712.172 3 None {'4': 0, '5': 0}
3 1787161712.172 4 None {'4': 0, '5': 0}
3 1787161712.172 5 None {'4': 0, '5': 0, '2': 0}
3 1787161712.172 6 None {'4': 0, '5': 0, '2': 0}
3 1787161712.172 7 None {'4': 0, '5': 0, '2': 0}
3 1787161712.172 8 None {'4': 0, '5': 0, '2': 0}
3 1787161712.173 9 None {'4': 0, '5': 0, '2': 0, '1': 0}
3 1787161712.173 10 None {'4': 0, '5': 0, '2': 0, '1': 0}
3 1787161712.173 11 None {'4': 0, '5': 0, '2': 0, '1': 0}
3 1787161712.173 12 None {'4': 0, '5': 0, '2': 0, '1': 0}
3 1787161712.173 13 None {'4': 0, '5': 0, '2': 0, '1': 0}
3 1787161712.173 14 None {'4': 0, '5': 0, '2': 0, '1': 0}
