ID TIME n private balances
1 1786984291.31 0 {} {}
1 1786984291.31 3 None {'4': 0, '0': 0, '3': 0, '2': 0}
1 1786984291.31 5 None {'4': 3, '0': 0, '3': 0, '2': 0}
1 1786984291.31 9 None {'4': 4, '0': 0, '3': 0, '2': 0}
1 1786984291.31 10 None {'4': 7, '0': 0, '3': 0, '2': 0}
1 1786984291.311 15 None {'4': 7, '0': 0, '3': 0, '2': 0, '1': 0}
1 1786984291.311 18 None {'4': 7, '0': 0, '3': 0, '2': 4, '1': 0}
