ID TIME n private balances
4 1786769377.143 0 {} {}
4 1786769377.143 1 None {'1': 0, '0': 0}
4 1786769377.143 7 None {'1': 1, '0': 0, '3': 0, '5': 0, '4': 0, '2': 0}
4 1786769377.143 12 None {'1': 1, '0': 0, '3': 5, '5': 0, '4': 0, '2': 0}
4 1786769377.144 15 None {'1': 1, '0': 0, '3': 5, '5': 4, '4': 0, '2': 0}
4 1786769377.144 19 None {'1': 1, '0': 0, '3': 5, '5': 4, '4': 0, '2': 2}
4 1786769377.144 21 None {'1': 1, '0': 0, '3': 8, '5': 4, '4': 0, '2': 2}
4 1786769377.144 25 None {'1': 2, '0': 0, '3': 8, '5': 4, '4': 0, '2': 2}
4 1786769377.144 29 None {'1': 2, '0': 0, '3': 8, '5': 4, '4': 0, '2': 5}
4 1786769377.144 34 None {'1': 2, '0': 0, '3': 8, '5': 4, '4': 3, '2': 5}
4 1786769377.144 38 None {'1': 2, '0': 0, '3': 8, '5': 8, '4': 3, '2': 5}
4 1786769377.144 42 None {'1': 2, '0': 0, '3': 11, '5': 8, '4': 3, '2': 5}
4 1786769377.144 46 None {'1': 2, '0': 0, '3': 11, '5': 8, '4': 6, '2': 5}
4 1786769377.145 50 None {'1': 5, '0': 0, '3': 11, '5': 8, '4': 6, '2': 5}
4 1786769377.145 53 None {'1': 5, '0': 0, '3': 11, '5': 8, '4': 6, '2': 8}
4 1786769377.145 57 None {'1': 5, '0': 0, '3': 11, '5': 10, '4': 6, '2': 8}
4 1786769377.145 61 None {'1': 8, '0': 0, '3': 11, '5': 10, '4': 6, '2': 8}
4 1786769377.145 65 None {'1': 8, '0': 0, '3': 11, '5': 10, '4': 6, '2': 11}
4 1786769377.145 69 None {'1': 8, '0': 0, '3': 11, '5': 10, '4': 9, '2': 11}
4 1786769377.145 73 None {'1': 8, '0': 0, '3': 11, '5': 13, '4': 9, '2': 11}
4 1786769377.145 77 None {'1': 8, '0': 0, '3': 14, '5': 13, '4': 9, '2': 11}
4 1786769377.146 84 None {'1': 8, '0': 0, '3': 14, '5': 13, '4': 12, '2': 11}
4 1786769377.146 87 None {'1': 14, '0': 0, '3': 14, '5': 13, '4': 12, '2': 11}
4 1786769377.146 91 None {'1': 14, '0': 0, '3': 14, '5': 13, '4': 12, '2': 13}
4 1786769377.146 92 None {'1': 14, '0': 0, '3': 14, '5': 13, '4': 15, '2': 13}
4 1786769377.146 96 None {'1': 14, '0': 0, '3': 14, '5': 13, '4': 15, '2': 13}
4 1786769377.146 101 None {'1': 14, '0': 0, '3': 14, '5': 13, '4': 15, '2': 16}
4 1786769377.146 105 None {'1': 18, '0': 0, '3': 14, '5': 13, '4': 15, '2': 16}
4 1786769377.146 110 None {'1': 18, '0': 0, '3': 17, '5': 13, '4': 15, '2': 16}
4 1786769377.147 114 None {'1': 18, '0': 0, '3': 17, '5': 17, '4': 15, '2': 16}
4 1786769377.147 118 None {'1': 21, '0': 0, '3': 17, '5': 17, '4': 15, '2': 16}
4 1786769377.147 123 None {'1': 21, '0': 0, '3': 17, '5': 17, '4': 15, '2': 19}
4 1786769377.147 128 None {'1': 21, '0': 0, '3': 21, '5': 17, '4': 15, '2': 19}
4 1786769377.147 133 None {'1': 21, '0': 0, '3': 21, '5': 21, '4': 15, '2': 19}
4 1786769377.147 136 None {'1': 21, '0': 0, '3': 21, '5': 21, '4': 19, '2': 19}
4 1786769377.147 142 None {'1': 21, '0': 0, '3': 23, '5': 21, '4': 19, '2': 19}
4 1786769377.147 146 None {'1': 26, '0': 0, '3': 23, '5': 21, '4': 19, '2': 19}
4 1786769377.148 149 None {'1': 26, '0': 0, '3': 23, '5': 21, '4': 22, '2': 19}
4 1786769377.148 153 None {'1': 26, '0': 0, '3': 25, '5': 21, '4': 22, '2': 19}
4 1786769377.148 158 None {'1': 29, '0': 0, '3': 25, '5': 21, '4': 22, '2': 19}
4 1786769377.148 162 None {'1': 29, '0': 0, '3': 25, '5': 21, '4': 26, '2': 19}
4 1786769377.148 165 None {'1': 29, '0': 0, '3': 25, '5': 24, '4': 26, '2': 19}
4 1786769377.148 167 None {'1': 31, '0': 0, '3': 25, '5': 24, '4': 26, '2': 19}
4 1786769377.148 172 None {'1': 31, '0': 0, '3': 25, '5': 24, '4': 26, '2': 20}
4 1786769377.148 175 None {'1': 31, '0': 0, '3': 25, '5': 28, '4': 26, '2': 20}
4 1786769377.148 178 None {'1': 33, '0': 0, '3': 25, '5': 28, '4': 26, '2': 20}
4 1786769377.149 182 None {'1': 33, '0': 0, '3': 25, '5': 28, '4': 26, '2': 22}
4 1786769377.149 187 None {'1': 33, '0': 0, '3': 25, '5': 31, '4': 26, '2': 22}
4 1786769377.149 192 None {'1': 37, '0': 0, '3': 25, '5': 31, '4': 26, '2': 22}
4 1786769377.149 195 None {'1': 37, '0': 0, '3': 25, '5': 31, '4': 30, '2': 22}
4 1786769377.149 200 None {'1': 37, '0': 0, '3': 25, '5': 33, '4': 30, '2': 22}
4 1786769377.149 204 None {'1': 41, '0': 0, '3': 25, '5': 33, '4': 30, '2': 22}
4 1786769377.149 210 None {'1': 41, '0': 0, '3': 25, '5': 33, '4': 30, '2': 25}
4 1786769377.149 212 None {'1': 41, '0': 0, '3': 25, '5': 33, '4': 35, '2': 25}
4 1786769377.15 218 None {'1': 41, '0': 0, '3': 26, '5': 33, '4': 35, '2': 25}
4 1786769377.15 223 None {'1': 41, '0': 0, '3': 26, '5': 38, '4': 35, '2': 25}
4 1786769377.15 229 None {'1': 45, '0': 0, '3': 26, '5': 38, '4': 35, '2': 25}
4 1786769377.15 232 None {'1': 45, '0': 0, '3': 26, '5': 38, '4': 35, '2': 30}
4 1786769377.15 235 None {'1': 45, '0': 0, '3': 26, '5': 38, '4': 37, '2': 30}
4 1786769377.15 239 None {'1': 47, '0': 0, '3': 26, '5': 38, '4': 37, '2': 30}
4 1786769377.15 244 None {'1': 47, '0': 0, '3': 26, '5': 41, '4': 37, '2': 30}
4 1786769377.15 247 None {'1': 47, '0': 0, '3': 26, '5': 41, '4': 37, '2': 34}
4 1786769377.151 249 None {'1': 49, '0': 0, '3': 26, '5': 41, '4': 37, '2': 34}
