ID TIME EVENT X Y XMIN XMAX YMIN YMAX
4 3.72 ENTER 0.813 0.797 -0.143 1.746 -0.143 1.746
4 4.74 EXIT 0.754 0.844 -0.143 1.746 -0.143 1.746
4 6.085 ENTER 0.755 0.848 -0.143 1.746 -0.143 1.746
4 7.357 EXIT 0.761 0.833 -0.143 1.746 -0.143 1.746
4 9.001 ENTER 0.757 0.857 -0.143 1.746 -0.143 1.746
4 10.545 EXIT 0.759 0.836 -0.143 1.746 -0.143 1.746
4 12.934 ENTER 0.758 0.854 -0.143 1.746 -0.143 1.746
4 14.884 EXIT 0.756 0.833 -0.143 1.746 -0.143 1.746
4 17.667 ENTER 0.751 0.858 -0.143 1.746 -0.143 1.746
4 19.945 EXIT 0.753 0.838 -0.143 1.746 -0.143 1.746
4 23.035 ENTER 0.756 0.852 -0.143 1.746 -0.143 1.746
4 25.187 EXIT 0.76 0.838 -0.143 1.746 -0.143 1.746
4 28.601 ENTER 0.748 0.857 -0.143 1.746 -0.143 1.746
4 30.99 EXIT 0.765 0.829 -0.143 1.746 -0.143 1.746
4 34.527 ENTER 0.756 0.856 -0.143 1.746 -0.143 1.746
4 36.905 EXIT 0.76 0.837 -0.143 1.746 -0.143 1.746
4 40.87 ENTER 0.753 0.855 -0.143 1.746 -0.143 1.746
4 43.185 EXIT 0.758 0.843 -0.143 1.746 -0.143 1.746
4 47.604 ENTER 0.756 0.849 -0.143 1.746 -0.143 1.746
4 49.916 EXIT 0.759 0.837 -0.143 1.746 -0.143 1.746
4 54.759 ENTER 0.764 0.849 -0.143 1.746 -0.143 1.746
4 56.961 EXIT 0.757 0.833 -0.143 1.746 -0.143 1.746
4 62.233 ENTER 0.763 0.845 -0.143 1.746 -0.143 1.746
4 72.648 EXIT 0.77 0.832 -0.143 1.746 -0.143 1.746
4 78.628 ENTER 0.842 0.765 -0.143 1.746 -0.143 1.746
4 82.116 EXIT 0.844 0.747 -0.143 1.746 -0.143 1.746
4 87.333 ENTER 0.839 0.772 -0.143 1.746 -0.143 1.746
4 91.024 EXIT 0.84 0.753 -0.143 1.746 -0.143 1.746
4 96.555 ENTER 0.848 0.756 -0.143 1.746 -0.143 1.746
4 100.931 EXIT 0.849 0.751 -0.143 1.746 -0.143 1.746
4 107.225 ENTER 0.778 0.825 -0.143 1.746 -0.143 1.746
4 111.357 EXIT 0.785 0.807 -0.143 1.746 -0.143 1.746
4 117.915 ENTER 0.814 0.795 -0.143 1.746 -0.143 1.746
4 122.927 EXIT 0.82 0.775 -0.143 1.746 -0.143 1.746
4 129.174 ENTER 0.841 0.77 -0.143 1.746 -0.143 1.746
4 134.852 EXIT 0.845 0.748 -0.143 1.746 -0.143 1.746
4 175.985 ENTER 0.788 0.818 -0.143 1.746 -0.143 1.746
4 177.514 EXIT 0.785 0.812 -0.143 1.746 -0.143 1.746
4 189.378 ENTER 0.832 0.78 -0.143 1.746 -0.143 1.746
4 191.522 EXIT 0.825 0.767 -0.143 1.746 -0.143 1.746
4 202.944 ENTER 0.829 0.783 -0.143 1.746 -0.143 1.746
4 205.078 EXIT 0.824 0.769 -0.143 1.746 -0.143 1.746
4 240.147 ENTER 0.791 0.815 -0.143 1.746 -0.143 1.746
4 244.297 EXIT 0.791 0.808 -0.143 1.746 -0.143 1.746
4 264.221 ENTER 0.756 0.855 -0.143 1.746 -0.143 1.746
4 267.215 EXIT 0.756 0.839 -0.143 1.746 -0.143 1.746
4 285.279 ENTER 0.795 0.816 -0.143 1.746 -0.143 1.746
4 289.709 EXIT 0.793 0.801 -0.143 1.746 -0.143 1.746
4 306.228 ENTER 0.754 0.85 -0.143 1.746 -0.143 1.746
4 309.939 EXIT 0.754 0.843 -0.143 1.746 -0.143 1.746
4 327.661 ENTER 0.763 0.849 -0.143 1.746 -0.143 1.746
4 330.434 EXIT 0.754 0.837 -0.143 1.746 -0.143 1.746
4 349.141 ENTER 0.783 0.819 -0.143 1.746 -0.143 1.746
4 351.566 EXIT 0.779 0.815 -0.143 1.746 -0.143 1.746
4 372.571 ENTER 0.768 0.835 -0.143 1.746 -0.143 1.746
4 375.121 EXIT 0.765 0.83 -0.143 1.746 -0.143 1.746
4 402.229 ENTER 0.753 0.854 -0.143 1.746 -0.143 1.746
4 418.576 EXIT 0.839 0.759 -0.143 1.746 -0.143 1.746
4 425.056 ENTER 0.83 0.773 -0.143 1.746 -0.143 1.746
4 443.943 EXIT 0.85 0.751 -0.143 1.746 -0.143 1.746
