ID TIME n private balances
4 1786979384.078 0 {} {}
4 1786979384.078 1 None {'1': 0, '0': 0}
4 1786979384.078 4 None {'1': 1, '0': 0, '4': 0}
4 1786979384.078 12 None {'1': 1, '0': 0, '4': 2, '3': 0, '2': 0}
4 1786979384.078 15 None {'1': 1, '0': 0, '4': 2, '3': 7, '2': 0}
