ID TIME n private balances
2 1786984192.585 0 {} {}
2 1786984192.585 3 {} {'2': 0, '0': 0, '3': 0, '4': 0}
2 1786984192.586 7 None {'2': 3, '0': 0, '3': 0, '4': 0}
2 1786984192.586 10 None {'2': 3, '0': 0, '3': 3, '4': 0}
2 1786984192.586 13 None {'2': 3, '0': 0, '3': 5, '4': 0}
2 1786984192.586 15 None {'2': 5, '0': 0, '3': 5, '4': 0}
2 1786984192.586 20 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 0}
2 1786984192.586 23 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 4}
