ID TIME n private balances
2 1787161049.992 0 {} {}
2 1787161049.992 0 {} {}
2 1787161049.992 1 None {'2': 0}
2 1787161049.992 2 None {'2': 0, '5': 0}
2 1787161049.992 3 None {'2': 0, '5': 0}
2 1787161049.992 4 None {'2': 0, '5': 0}
2 1787161049.992 5 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 6 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 7 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 8 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 9 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 10 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 11 None {'2': 0, '5': 0, '3': 0}
2 1787161049.992 12 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 13 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 14 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 15 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 16 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 17 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 18 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 19 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 20 None {'2': 0, '5': 0, '3': 0, '1': 0}
2 1787161049.992 21 None {'2': 0, '5': 0, '3': 0, '1': 0}
