ID TIME ROBOT_ID QLTY QTTY TOTAL
0 4.47 4 blue 8
0 6.236 6 blue 24
0 8.656 3 blue 48
0 10.024 5 blue 69
0 11.034 1 blue 93
0 13.101 2 blue 114
0 15.92 8 blue 122
0 17.465 6 blue 130
0 18.738 1 blue 154
0 20.106 3 blue 170
0 22.373 10 blue 186
0 23.437 5 blue 194
0 24.438 2 blue 218
0 26.509 8 blue 225
0 27.829 9 blue 233
0 29.577 7 blue 241
0 30.623 2 blue 246
0 32.358 6 blue 266
0 37.421 4 blue 290
0 38.794 2 blue 320
0 41.009 5 blue 336
0 42.463 3 blue 344
0 44.493 4 blue 365
0 45.833 9 blue 381
0 46.983 10 blue 402
0 49.317 1 blue 410
0 51.871 2 blue 426
0 53.292 9 blue 440
0 55.368 1 blue 449
0 57.527 2 blue 473
0 59.233 3 blue 479
0 60.718 6 blue 511
0 61.846 7 blue 517
0 63.683 2 blue 525
0 64.846 5 blue 541
0 66.127 4 blue 557
0 67.282 6 blue 581
0 69.964 2 blue 589
0 71.696 7 blue 607
0 74.077 10 blue 615
0 75.079 9 blue 631
0 77.563 2 blue 638
0 78.672 8 blue 646
0 79.726 4 blue 662
0 80.94 7 blue 678
0 84.416 9 blue 686
0 85.478 10 blue 702
0 88.312 2 blue 710
0 89.696 3 blue 715
0 91.245 5 blue 728
0 92.277 1 blue 752
0 94.001 10 blue 768
0 96.621 7 blue 782
0 97.98 1 blue 790
0 99.413 6 blue 798
0 100.428 4 blue 814
0 102.655 10 blue 829
0 104.625 8 blue 853
0 107.16 6 blue 858
0 108.505 1 blue 866
0 110.394 9 blue 882
0 112.058 8 blue 906
0 115.498 1 blue 912
0 116.875 5 blue 917
