ID TIME EVENT X Y XMIN XMAX YMIN YMAX
2 0.014 ENTER 1.394 1.034 -0.175 2.138 -0.175 2.138
2 14.45 EXIT 1.053 0.907 -0.175 2.138 -0.175 2.138
2 19.051 ENTER 1.004 0.963 -0.175 2.138 -0.175 2.138
2 20.76 EXIT 0.917 1.042 -0.175 2.138 -0.175 2.138
2 23.291 ENTER 1.0 0.968 -0.175 2.138 -0.175 2.138
2 24.888 EXIT 0.907 1.052 -0.175 2.138 -0.175 2.138
2 27.165 ENTER 1.012 0.961 -0.175 2.138 -0.175 2.138
2 29.925 EXIT 0.922 1.035 -0.175 2.138 -0.175 2.138
2 32.168 ENTER 1.007 0.956 -0.175 2.138 -0.175 2.138
2 34.906 EXIT 0.926 1.03 -0.175 2.138 -0.175 2.138
2 37.15 ENTER 1.022 0.942 -0.175 2.138 -0.175 2.138
2 39.88 EXIT 0.917 1.038 -0.175 2.138 -0.175 2.138
2 41.659 ENTER 1.013 0.958 -0.175 2.138 -0.175 2.138
2 44.416 EXIT 0.92 1.04 -0.175 2.138 -0.175 2.138
2 46.833 ENTER 1.012 0.964 -0.175 2.138 -0.175 2.138
2 49.699 EXIT 0.926 1.031 -0.175 2.138 -0.175 2.138
2 52.125 ENTER 1.016 0.953 -0.175 2.138 -0.175 2.138
2 55.075 EXIT 0.923 1.039 -0.175 2.138 -0.175 2.138
2 57.063 ENTER 1.013 0.952 -0.175 2.138 -0.175 2.138
2 60.59 EXIT 0.909 1.043 -0.175 2.138 -0.175 2.138
2 63.776 ENTER 1.012 0.963 -0.175 2.138 -0.175 2.138
2 67.769 EXIT 0.924 1.032 -0.175 2.138 -0.175 2.138
2 71.137 ENTER 1.011 0.954 -0.175 2.138 -0.175 2.138
2 75.051 EXIT 0.925 1.03 -0.175 2.138 -0.175 2.138
2 77.615 ENTER 1.021 0.945 -0.175 2.138 -0.175 2.138
2 81.578 EXIT 0.908 1.053 -0.175 2.138 -0.175 2.138
2 84.988 ENTER 1.012 0.961 -0.175 2.138 -0.175 2.138
2 89.213 EXIT 0.922 1.035 -0.175 2.138 -0.175 2.138
2 92.641 ENTER 1.007 0.956 -0.175 2.138 -0.175 2.138
2 96.809 EXIT 0.926 1.03 -0.175 2.138 -0.175 2.138
2 100.34 ENTER 1.022 0.942 -0.175 2.138 -0.175 2.138
2 104.714 EXIT 0.917 1.038 -0.175 2.138 -0.175 2.138
