ID TIME n private balances
2 1786984349.234 0 {} {}
2 1786984349.234 3 None {'3': 0, '0': 0, '2': 0, '4': 0}
2 1786984349.234 7 None {'3': 3, '0': 0, '2': 0, '4': 0}
2 1786984349.234 11 None {'3': 3, '0': 0, '2': 3, '4': 0}
2 1786984349.234 12 None {'3': 3, '0': 0, '2': 3, '4': 3}
2 1786984349.234 17 None {'3': 3, '0': 0, '2': 3, '4': 3}
2 1786984349.234 21 None {'3': 7, '0': 0, '2': 3, '4': 3}
