ID TIME n private balances
1 1786984349.241 0 {} {}
1 1786984349.241 3 None {'3': 0, '0': 0, '2': 0, '4': 0}
1 1786984349.241 7 None {'3': 3, '0': 0, '2': 0, '4': 0}
1 1786984349.241 11 None {'3': 3, '0': 0, '2': 3, '4': 0}
1 1786984349.241 12 None {'3': 3, '0': 0, '2': 3, '4': 3}
1 1786984349.241 17 None {'3': 3, '0': 0, '2': 3, '4': 3}
1 1786984349.241 21 None {'3': 7, '0': 0, '2': 3, '4': 3}
