ID TIME ROBOT_ID QLTY QTTY TOTAL
0 5.575 4 blue 8
0 7.354 14 blue 24
0 8.619 19 blue 48
0 9.96 7 blue 64
0 11.429 18 blue 72
0 13.607 14 blue 88
0 14.8 6 blue 98
0 17.115 16 blue 135
0 18.627 20 blue 143
0 19.926 12 blue 172
0 21.783 6 blue 186
0 23.514 10 blue 194
0 25.415 16 blue 218
0 26.566 19 blue 242
0 29.094 12 blue 257
0 31.405 20 blue 278
0 32.666 17 blue 302
0 34.367 1 blue 326
0 36.504 5 blue 334
0 37.937 20 blue 350
0 39.296 4 blue 358
0 41.131 10 blue 373
0 42.175 17 blue 389
0 43.65 14 blue 413
0 44.846 6 blue 445
0 45.865 7 blue 453
0 47.282 5 blue 461
0 49.268 20 blue 475
0 50.315 8 blue 499
0 51.662 6 blue 507
0 52.895 2 blue 523
0 54.288 17 blue 547
0 55.425 11 blue 553
0 56.574 1 blue 577
0 58.169 7 blue 593
0 59.431 10 blue 609
0 62.981 11 blue 623
0 64.206 14 blue 659
0 65.835 8 blue 667
0 68.584 19 blue 699
0 69.772 4 blue 714
0 71.292 16 blue 722
0 72.724 2 blue 738
0 74.859 6 blue 764
0 76.513 5 blue 772
0 78.362 11 blue 788
0 79.829 10 blue 834
0 81.812 6 blue 850
0 83.136 19 blue 858
0 84.451 16 blue 874
0 86.16 18 blue 882
0 88.031 11 blue 901
0 89.059 3 blue 917
0 91.702 7 blue 933
0 93.097 12 blue 940
0 95.757 19 blue 948
0 97.067 9 blue 975
0 98.233 6 blue 991
0 100.253 10 blue 999
0 103.606 14 blue 1031
0 104.778 12 blue 1039
0 106.041 6 blue 1063
0 107.34 7 blue 1086
0 108.398 19 blue 1107
0 109.931 18 blue 1115
0 112.388 17 blue 1139
0 114.501 13 blue 1155
0 116.027 3 blue 1179
0 117.694 16 blue 1185
0 119.515 18 blue 1193
0 122.123 8 blue 1209
