ID TIME n private balances
4 1786984252.046 0 {} {}
4 1786984252.046 0 None {}
4 1786984252.046 1 None {'1': 0}
4 1786984252.046 6 None {'1': 0, '2': 0, '0': 0, '3': 0, '4': 0}
4 1786984252.046 10 None {'1': 0, '2': 4, '0': 0, '3': 0, '4': 0}
4 1786984252.046 13 None {'1': 0, '2': 7, '0': 0, '3': 0, '4': 0}
4 1786984252.046 16 None {'1': 0, '2': 9, '0': 0, '3': 0, '4': 0}
4 1786984252.046 22 None {'1': 0, '2': 9, '0': 0, '3': 2, '4': 0}
4 1786984252.046 25 None {'1': 0, '2': 9, '0': 0, '3': 2, '4': 5}
4 1786984252.046 28 None {'1': 0, '2': 9, '0': 0, '3': 2, '4': 7}
4 1786984252.046 31 None {'1': 0, '2': 9, '0': 0, '3': 4, '4': 7}
4 1786984252.046 36 None {'1': 0, '2': 9, '0': 0, '3': 6, '4': 7}
