ID TIME n private balances
3 1786984378.465 0 {} {}
3 1786984378.466 3 None {'2': 0, '0': 0, '4': 0, '3': 0}
3 1786984378.466 4 None {'2': 3, '0': 0, '4': 0, '3': 0}
3 1786984378.466 5 None {'2': 3, '0': 0, '4': 0, '3': 0}
3 1786984378.466 10 None {'2': 3, '0': 0, '4': 0, '3': 0}
3 1786984378.466 14 None {'2': 3, '0': 0, '4': 4, '3': 0}
3 1786984378.466 15 None {'2': 3, '0': 0, '4': 7, '3': 0}
3 1786984378.466 20 None {'2': 3, '0': 0, '4': 7, '3': 0}
3 1786984378.466 23 None {'2': 3, '0': 0, '4': 11, '3': 0}
3 1786984378.467 28 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 0}
3 1786984378.467 32 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 4}
