ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.296 4 blue 8
0 2.76 4 blue 24
0 4.209 4 blue 56
0 5.23 5 blue 88
0 6.837 2 blue 96
0 8.051 4 blue 126
0 9.841 4 blue 141
0 11.552 5 blue 157
0 12.844 3 blue 189
0 14.886 3 blue 197
0 15.993 2 blue 224
0 17.476 4 blue 232
0 18.544 1 blue 262
0 19.558 4 blue 283
0 20.737 1 blue 299
0 21.824 2 blue 323
0 22.846 1 blue 337
0 24.832 4 blue 361
0 25.9 1 blue 385
0 27.947 1 blue 409
0 29.138 3 blue 431
0 30.447 1 blue 439
0 32.991 2 blue 463
0 35.182 1 blue 493
0 36.694 3 blue 517
0 37.783 5 blue 533
0 39.714 3 blue 549
0 41.515 4 blue 581
0 42.895 2 blue 597
