ID TIME n private balances
1 1786769697.97 0 {} {}
1 1786769697.97 1 {} {'1': 0, '0': 0}
1 1786769697.97 7 None {'1': 1, '0': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1786769697.97 10 None {'1': 1, '0': 0, '2': 5, '3': 0, '4': 0, '5': 0}
1 1786769697.97 14 None {'1': 1, '0': 0, '2': 5, '3': 0, '4': 2, '5': 0}
1 1786769697.97 17 None {'1': 1, '0': 0, '2': 5, '3': 0, '4': 2, '5': 3}
1 1786769697.97 21 None {'1': 1, '0': 0, '2': 7, '3': 0, '4': 2, '5': 3}
1 1786769697.97 25 None {'1': 1, '0': 0, '2': 7, '3': 0, '4': 5, '5': 3}
1 1786769697.97 28 None {'1': 1, '0': 0, '2': 7, '3': 0, '4': 5, '5': 6}
1 1786769697.97 35 None {'1': 3, '0': 0, '2': 7, '3': 0, '4': 5, '5': 6}
1 1786769697.97 37 None {'1': 3, '0': 0, '2': 7, '3': 0, '4': 11, '5': 6}
1 1786769697.97 41 None {'1': 3, '0': 0, '2': 7, '3': 0, '4': 11, '5': 7}
1 1786769697.97 45 None {'1': 3, '0': 0, '2': 10, '3': 0, '4': 11, '5': 7}
1 1786769697.97 48 None {'1': 3, '0': 0, '2': 10, '3': 0, '4': 14, '5': 7}
1 1786769697.97 53 None {'1': 3, '0': 0, '2': 10, '3': 0, '4': 14, '5': 9}
1 1786769697.97 57 None {'1': 7, '0': 0, '2': 10, '3': 0, '4': 14, '5': 9}
1 1786769697.97 61 None {'1': 7, '0': 0, '2': 13, '3': 0, '4': 14, '5': 9}
1 1786769697.97 66 None {'1': 7, '0': 0, '2': 13, '3': 0, '4': 17, '5': 9}
1 1786769697.97 69 None {'1': 11, '0': 0, '2': 13, '3': 0, '4': 17, '5': 9}
1 1786769697.97 74 None {'1': 11, '0': 0, '2': 15, '3': 0, '4': 17, '5': 9}
1 1786769697.97 77 None {'1': 11, '0': 0, '2': 15, '3': 0, '4': 21, '5': 9}
1 1786769697.97 81 None {'1': 13, '0': 0, '2': 15, '3': 0, '4': 21, '5': 9}
1 1786769697.971 87 None {'1': 13, '0': 0, '2': 18, '3': 0, '4': 21, '5': 9}
1 1786769697.971 89 None {'1': 13, '0': 0, '2': 18, '3': 0, '4': 26, '5': 9}
1 1786769697.971 94 None {'1': 13, '0': 0, '2': 18, '3': 1, '4': 26, '5': 9}
1 1786769697.971 97 None {'1': 13, '0': 0, '2': 22, '3': 1, '4': 26, '5': 9}
1 1786769697.971 102 None {'1': 13, '0': 0, '2': 22, '3': 1, '4': 26, '5': 11}
