ID TIME n private balances
2 1786984378.472 0 {} {}
2 1786984378.472 3 {} {'2': 0, '0': 0, '4': 0, '3': 0}
2 1786984378.472 4 {} {'2': 3, '0': 0, '4': 0, '3': 0}
2 1786984378.472 5 {} {'2': 3, '0': 0, '4': 0, '3': 0}
2 1786984378.472 10 None {'2': 3, '0': 0, '4': 0, '3': 0}
2 1786984378.473 14 None {'2': 3, '0': 0, '4': 4, '3': 0}
2 1786984378.473 15 None {'2': 3, '0': 0, '4': 7, '3': 0}
2 1786984378.473 20 None {'2': 3, '0': 0, '4': 7, '3': 0}
2 1786984378.473 23 None {'2': 3, '0': 0, '4': 11, '3': 0}
2 1786984378.473 28 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 0}
