ID TIME EVENT X Y XMIN XMAX YMIN YMAX
6 163.006 ENTER 1.237 1.298 -0.227 2.76 -0.227 2.76
6 178.12 EXIT 1.245 1.278 -0.227 2.76 -0.227 2.76
6 190.361 ENTER 1.239 1.296 -0.227 2.76 -0.227 2.76
6 198.499 EXIT 1.25 1.278 -0.227 2.76 -0.227 2.76
6 204.285 ENTER 1.32 1.218 -0.227 2.76 -0.227 2.76
6 209.488 EXIT 1.271 1.259 -0.227 2.76 -0.227 2.76
6 220.159 ENTER 1.306 1.229 -0.227 2.76 -0.227 2.76
6 224.553 EXIT 1.267 1.264 -0.227 2.76 -0.227 2.76
6 231.344 ENTER 1.349 1.187 -0.227 2.76 -0.227 2.76
6 238.361 EXIT 1.242 1.283 -0.227 2.76 -0.227 2.76
6 245.529 ENTER 1.314 1.22 -0.227 2.76 -0.227 2.76
