ID TIME n private balances
5 1787160953.48 0 {} {}
5 1787160953.48 0 None {}
5 1787160953.48 1 None {'3': 0}
5 1787160953.48 2 None {'3': 0, '1': 0}
5 1787160953.48 3 None {'3': 0, '1': 0, '5': 0}
5 1787160953.48 4 None {'3': 0, '1': 0, '5': 0}
5 1787160953.48 5 None {'3': 0, '1': 0, '5': 0}
5 1787160953.48 6 None {'3': 0, '1': 0, '5': 0}
5 1787160953.48 7 None {'3': 0, '1': 0, '5': 0}
5 1787160953.48 8 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 9 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 10 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 11 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 12 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 13 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 14 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 15 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.48 16 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.481 17 None {'3': 0, '1': 0, '5': 0, '4': 0}
5 1787160953.481 18 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
5 1787160953.481 19 None {'3': 0, '1': 0, '5': 0, '4': 0, '2': 0}
