ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.371 4 blue 8
0 2.743 4 blue 40
0 4.053 5 blue 72
0 5.252 3 blue 95
0 6.336 1 blue 127
0 7.533 5 blue 143
0 8.924 2 blue 174
0 10.697 2 blue 203
0 11.732 4 blue 230
0 12.806 1 blue 252
0 14.051 1 blue 284
0 15.531 4 blue 316
0 16.842 4 blue 356
0 17.913 5 blue 380
0 19.15 2 blue 396
0 20.414 5 blue 420
0 21.496 1 blue 444
0 22.785 4 blue 473
0 24.271 2 blue 513
0 25.319 3 blue 543
0 27.167 3 blue 583
0 28.294 5 blue 607
0 30.043 3 blue 638
0 31.463 2 blue 662
