ID TIME n private balances
1 1787161216.207 0 {} {}
1 1787161216.207 0 None {}
1 1787161216.207 1 None {'2': 0}
1 1787161216.207 2 None {'2': 0, '3': 0}
1 1787161216.207 3 None {'2': 0, '3': 0, '5': 0}
1 1787161216.207 4 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 5 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 6 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 7 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 8 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 9 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 10 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 11 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 12 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 13 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 14 None {'2': 0, '3': 0, '5': 0, '4': 0}
1 1787161216.208 15 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 16 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 17 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 18 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 19 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 20 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 21 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
1 1787161216.209 22 None {'2': 0, '3': 0, '5': 0, '4': 0, '1': 0}
