ID TIME n private balances
3 1787162809.68 0 {} {}
3 1787162809.68 0 None {}
3 1787162809.68 1 None {'9': 0}
3 1787162809.68 2 None {'9': 0, '4': 0}
3 1787162809.68 3 None {'9': 0, '4': 0, '1': 0}
3 1787162809.68 4 None {'9': 0, '4': 0, '1': 0}
3 1787162809.68 5 None {'9': 0, '4': 0, '1': 0}
3 1787162809.68 6 None {'9': 0, '4': 0, '1': 0}
3 1787162809.681 7 None {'9': 0, '4': 0, '1': 0}
3 1787162809.681 8 None {'9': 0, '4': 0, '1': 0}
3 1787162809.681 9 None {'9': 0, '4': 0, '1': 0}
3 1787162809.681 10 None {'9': 0, '4': 0, '1': 0}
3 1787162809.681 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
3 1787162809.681 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
3 1787162809.681 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
3 1787162809.681 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
3 1787162809.681 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
3 1787162809.682 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
3 1787162809.682 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
3 1787162809.682 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
