ID TIME n private balances
4 1786984291.292 0 {} {}
4 1786984291.292 3 {} {'4': 0, '0': 0, '3': 0, '2': 0}
4 1786984291.293 5 {} {'4': 3, '0': 0, '3': 0, '2': 0}
4 1786984291.293 9 {} {'4': 4, '0': 0, '3': 0, '2': 0}
4 1786984291.293 10 {} {'4': 7, '0': 0, '3': 0, '2': 0}
4 1786984291.293 15 None {'4': 7, '0': 0, '3': 0, '2': 0, '1': 0}
4 1786984291.293 20 None {'4': 7, '0': 0, '3': 0, '2': 4, '1': 0}
4 1786984291.293 22 None {'4': 11, '0': 0, '3': 0, '2': 4, '1': 0}
4 1786984291.293 25 None {'4': 12, '0': 0, '3': 0, '2': 4, '1': 0}
4 1786984291.293 29 None {'4': 12, '0': 0, '3': 2, '2': 4, '1': 0}
4 1786984291.293 31 None {'4': 12, '0': 0, '3': 5, '2': 4, '1': 0}
4 1786984291.294 34 None {'4': 12, '0': 0, '3': 6, '2': 4, '1': 0}
