ID TIME n private balances
1 1787134132.214 0 {} {}
1 1787134132.214 0 {} {}
1 1787134132.214 1 None {'1': 0}
1 1787134132.214 2 None {'1': 0, '2': 0}
1 1787134132.214 3 None {'1': 0, '2': 0, '3': 0}
1 1787134132.214 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
1 1787134132.215 5 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 6 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 7 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.215 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.216 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 55 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 56 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.217 57 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 58 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 59 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 60 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 61 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 62 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 63 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 64 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 65 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 66 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 67 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 68 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 69 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 70 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 71 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 72 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 73 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
1 1787134132.218 74 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
