ID TIME n private balances
2 1787160855.832 0 {} {}
2 1787160855.832 0 None {}
2 1787160855.832 1 None {'5': 0}
2 1787160855.832 2 None {'5': 0, '4': 0}
2 1787160855.832 3 None {'5': 0, '4': 0}
2 1787160855.832 4 None {'5': 0, '4': 0}
2 1787160855.832 5 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 6 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 7 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 8 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 9 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 10 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 11 None {'5': 0, '4': 0, '2': 0}
2 1787160855.832 12 None {'5': 0, '4': 0, '2': 0, '1': 0}
2 1787160855.832 13 None {'5': 0, '4': 0, '2': 0, '1': 0}
2 1787160855.832 14 None {'5': 0, '4': 0, '2': 0, '1': 0}
2 1787160855.832 15 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
2 1787160855.832 16 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
2 1787160855.832 17 None {'5': 0, '4': 0, '2': 0, '1': 0, '3': 0}
