ID TIME n private balances
1 1786984192.6 0 {} {}
1 1786984192.6 3 None {'2': 0, '0': 0, '3': 0, '4': 0}
1 1786984192.6 7 None {'2': 3, '0': 0, '3': 0, '4': 0}
1 1786984192.6 10 None {'2': 3, '0': 0, '3': 3, '4': 0}
1 1786984192.6 13 None {'2': 3, '0': 0, '3': 5, '4': 0}
1 1786984192.6 15 None {'2': 5, '0': 0, '3': 5, '4': 0}
1 1786984192.6 20 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 0}
1 1786984192.6 23 None {'2': 6, '0': 0, '3': 5, '4': 0, '1': 4}
