ID TIME 
0 0.024 
0 0.047 
0 0.055 
0 0.063 
0 0.07 
0 0.077 
0 0.085 
0 0.093 
0 0.101 
0 0.109 
0 0.132 
0 0.14 
0 0.148 
0 0.156 
0 0.165 
0 0.173 
0 0.181 
0 0.19 
0 0.198 
0 0.206 
0 0.219 
0 0.227 
0 0.401 
0 0.411 
0 0.422 
0 0.431 
0 0.441 
0 0.451 
0 0.462 
0 0.472 
0 0.486 
0 0.496 
0 0.506 
0 0.516 
0 0.526 
0 0.536 
0 0.545 
0 0.555 
0 0.565 
0 0.575 
0 0.588 
0 0.597 
0 0.607 
0 0.759 
0 0.77 
0 0.781 
0 0.791 
0 0.803 
0 0.814 
0 0.825 
0 0.842 
0 0.853 
0 0.865 
0 0.877 
0 0.891 
0 0.901 
0 0.912 
0 0.922 
0 0.934 
0 0.945 
0 0.963 
0 0.975 
0 0.988 
0 1.001 
0 1.165 
0 1.177 
0 1.188 
0 1.2 
0 1.212 
0 1.223 
0 1.238 
0 1.25 
0 1.261 
0 1.274 
0 1.286 
0 1.299 
0 1.309 
0 1.319 
0 1.33 
0 1.34 
0 1.354 
0 1.365 
0 1.378 
0 1.389 
0 1.4 
0 1.558 
0 1.569 
0 1.58 
0 1.591 
0 1.601 
0 1.615 
0 1.626 
0 1.637 
0 1.65 
0 1.659 
0 1.669 
0 1.678 
0 1.687 
0 1.697 
0 1.706 
0 1.721 
0 1.731 
0 1.742 
0 1.753 
0 1.764 
0 1.774 
0 1.942 
0 1.952 
0 1.961 
0 1.969 
0 1.984 
0 1.994 
0 2.003 
0 2.014 
0 2.023 
0 2.032 
0 2.041 
0 2.05 
0 2.059 
0 2.068 
0 2.082 
0 2.092 
0 2.101 
0 2.11 
0 2.12 
0 2.13 
0 2.139 
0 2.291 
0 2.301 
0 2.31 
0 2.325 
0 2.335 
0 2.346 
0 2.356 
0 2.365 
0 2.375 
0 2.386 
0 2.396 
0 2.406 
0 2.415 
0 2.43 
0 2.44 
0 2.45 
0 2.459 
0 2.469 
0 2.479 
0 2.489 
0 2.499 
0 2.618 
0 2.627 
0 2.643 
0 2.657 
0 2.667 
0 2.678 
0 2.688 
0 2.697 
0 2.707 
0 2.718 
0 2.728 
0 2.737 
0 2.752 
0 2.762 
0 2.772 
0 2.781 
0 2.791 
0 2.801 
0 2.811 
0 2.821 
0 2.83 
0 2.952 
0 2.966 
0 2.976 
0 2.986 
0 2.996 
0 3.006 
0 3.016 
0 3.026 
0 3.042 
0 3.055 
0 3.066 
0 3.082 
0 3.092 
0 3.103 
0 3.113 
0 3.124 
0 3.134 
0 3.144 
0 3.154 
0 3.164 
0 3.174 
0 3.294 
0 3.304 
0 3.316 
0 3.326 
0 3.336 
0 3.346 
0 3.356 
0 3.367 
0 3.377 
0 3.387 
0 3.404 
0 3.415 
0 3.426 
0 3.436 
0 3.448 
0 3.458 
0 3.468 
0 3.478 
0 3.488 
0 3.499 
0 3.516 
0 3.638 
0 3.649 
0 3.66 
0 3.67 
0 3.682 
0 3.695 
0 3.706 
0 3.718 
0 3.729 
0 3.747 
0 3.758 
0 3.771 
0 3.785 
0 3.796 
0 3.805 
0 3.815 
0 3.824 
0 3.834 
0 3.844 
0 3.862 
0 3.872 
0 4.023 
0 4.036 
0 4.05 
0 4.061 
0 4.072 
0 4.082 
0 4.093 
0 4.104 
0 4.123 
0 4.133 
0 4.144 
0 4.155 
0 4.166 
0 4.176 
0 4.186 
0 4.198 
0 4.208 
0 4.218 
0 4.234 
0 4.244 
0 4.254 
0 4.399 
0 4.408 
0 4.418 
0 4.427 
0 4.437 
0 4.447 
0 4.457 
0 4.472 
0 4.483 
0 4.497 
0 4.508 
