ID TIME n private balances
6 1787162809.665 0 {} {}
6 1787162809.665 0 None {}
6 1787162809.665 1 None {'9': 0}
6 1787162809.665 2 None {'9': 0, '4': 0}
6 1787162809.665 3 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 4 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 5 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 6 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 7 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 8 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 9 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 10 None {'9': 0, '4': 0, '1': 0}
6 1787162809.665 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
6 1787162809.665 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
6 1787162809.665 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
6 1787162809.665 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
6 1787162809.665 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
6 1787162809.665 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
6 1787162809.665 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
6 1787162809.665 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
