ID TIME ROBOT_ID QLTY QTTY TOTAL
0 6.201 4 blue 8
0 9.609 15 blue 16
0 11.018 12 blue 24
0 12.172 8 blue 32
0 13.557 14 blue 48
0 14.893 9 blue 56
0 16.538 2 blue 64
0 18.076 1 blue 88
0 19.913 10 blue 96
0 22.418 13 blue 112
0 24.817 14 blue 120
0 28.993 12 blue 146
0 32.108 9 blue 162
0 34.835 4 blue 178
0 36.674 11 blue 209
0 38.169 3 blue 217
0 39.687 6 blue 233
0 41.819 1 blue 241
0 44.535 7 blue 249
0 45.862 12 blue 267
0 48.687 11 blue 283
0 49.893 15 blue 299
0 51.381 5 blue 307
0 52.405 3 blue 315
0 55.682 1 blue 331
0 57.868 14 blue 339
0 60.547 8 blue 355
0 64.067 2 blue 379
0 65.643 11 blue 395
0 66.905 15 blue 411
0 69.855 5 blue 419
0 71.095 4 blue 425
0 74.584 14 blue 433
0 75.94 3 blue 441
0 77.556 8 blue 457
0 80.771 1 blue 481
0 82.695 11 blue 489
0 84.733 12 blue 507
0 86.76 14 blue 531
0 90.287 10 blue 539
0 91.334 2 blue 547
0 93.029 1 blue 571
0 96.669 5 blue 587
0 98.615 11 blue 595
0 101.355 7 blue 601
0 103.272 6 blue 609
0 105.052 13 blue 625
0 107.534 14 blue 633
0 110.593 9 blue 641
0 113.38 12 blue 649
0 114.541 10 blue 657
0 118.562 11 blue 681
0 120.819 1 blue 689
0 122.594 4 blue 697
0 125.513 3 blue 705
0 127.637 2 blue 713
0 129.258 6 blue 726
0 130.825 14 blue 742
0 133.019 7 blue 748
0 135.101 11 blue 756
0 137.107 12 blue 764
0 141.01 13 blue 772
0 142.667 10 blue 788
0 145.971 4 blue 796
0 149.268 8 blue 811
0 152.57 15 blue 819
0 155.899 13 blue 848
0 158.255 6 blue 862
0 160.458 2 blue 870
0 164.106 7 blue 891
0 168.036 3 blue 899
0 169.959 13 blue 915
0 171.757 4 blue 927
0 173.753 15 blue 943
0 177.569 1 blue 959
0 180.224 10 blue 975
0 181.78 14 blue 983
0 185.46 11 blue 991
0 189.434 7 blue 996
0 190.616 12 blue 1004
0 192.863 8 blue 1020
0 196.417 5 blue 1028
0 198.817 2 blue 1036
0 201.814 9 blue 1052
0 213.787 3 blue 1060
0 218.801 15 blue 1068
0 220.083 14 blue 1084
0 223.714 6 blue 1091
0 225.481 2 blue 1099
0 227.887 5 blue 1113
0 229.358 7 blue 1121
0 230.917 4 blue 1129
0 234.254 13 blue 1137
0 236.075 9 blue 1161
0 238.544 11 blue 1164
