ID TIME n private balances
4 1786984368.659 0 {} {}
4 1786984368.659 3 None {'1': 0, '0': 0, '2': 0, '4': 0}
4 1786984368.659 6 None {'1': 3, '0': 0, '2': 0, '4': 0}
4 1786984368.659 7 None {'1': 3, '0': 0, '2': 2, '4': 0}
4 1786984368.659 8 None {'1': 3, '0': 0, '2': 2, '4': 0}
4 1786984368.659 9 None {'1': 3, '0': 0, '2': 2, '4': 0}
4 1786984368.66 20 None {'1': 3, '0': 0, '2': 2, '4': 0, '3': 0}
4 1786984368.66 24 None {'1': 3, '0': 0, '2': 12, '4': 0, '3': 0}
