ID TIME n private balances
3 1786984320.365 0 {} {}
3 1786984320.365 1 None {'2': 0, '0': 0}
3 1786984320.365 2 None {'2': 1, '0': 0}
3 1786984320.365 8 None {'2': 1, '0': 0, '4': 0, '3': 0}
3 1786984320.366 12 None {'2': 6, '0': 0, '4': 0, '3': 0}
3 1786984320.366 15 None {'2': 6, '0': 0, '4': 3, '3': 0}
3 1786984320.366 20 None {'2': 6, '0': 0, '4': 5, '3': 0, '1': 0}
3 1786984320.366 23 None {'2': 10, '0': 0, '4': 5, '3': 0, '1': 0}
