ID TIME n private balances
4 1786984349.223 0 {} {}
4 1786984349.223 3 None {'3': 0, '0': 0, '2': 0, '4': 0}
4 1786984349.223 7 None {'3': 3, '0': 0, '2': 0, '4': 0}
4 1786984349.223 11 None {'3': 3, '0': 0, '2': 3, '4': 0}
4 1786984349.223 12 None {'3': 3, '0': 0, '2': 3, '4': 3}
4 1786984349.223 17 None {'3': 3, '0': 0, '2': 3, '4': 3}
4 1786984349.223 21 None {'3': 7, '0': 0, '2': 3, '4': 3}
