ID TIME n private balances
3 1786985399.181 0 {} {}
3 1786985399.181 1 {} {'3': 0, '0': 0}
3 1786985399.181 7 {} {'3': 1, '0': 0, '7': 0, '5': 0, '2': 0, '1': 0}
3 1786985399.181 12 {} {'3': 6, '0': 0, '7': 0, '5': 0, '2': 0, '1': 0}
3 1786985399.181 15 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 0, '1': 0}
3 1786985399.181 19 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 0, '1': 2}
3 1786985399.182 22 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 0, '1': 5}
3 1786985399.182 25 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 2, '1': 5}
3 1786985399.182 29 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 5}
3 1786985399.182 53 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 8, '11': 0, '4': 0, '9': 0, '10': 0, '12': 0, '6': 0, '8': 0}
3 1786985399.182 65 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 31, '11': 0, '4': 0, '9': 0, '10': 0, '12': 0, '6': 0, '8': 0}
3 1786985399.182 76 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 31, '11': 0, '4': 0, '9': 0, '10': 11, '12': 0, '6': 0, '8': 0}
3 1786985399.182 79 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 31, '11': 0, '4': 0, '9': 0, '10': 11, '12': 10, '6': 0, '8': 0}
3 1786985399.182 84 None {'3': 10, '0': 0, '7': 0, '5': 0, '2': 4, '1': 31, '11': 0, '4': 0, '9': 0, '10': 11, '12': 12, '6': 0, '8': 0}
