ID TIME n private balances
7 1787162809.662 0 {} {}
7 1787162809.662 0 None {}
7 1787162809.662 1 None {'9': 0}
7 1787162809.662 2 None {'9': 0, '4': 0}
7 1787162809.662 3 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 4 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 5 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 6 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 7 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 8 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 9 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 10 None {'9': 0, '4': 0, '1': 0}
7 1787162809.662 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
7 1787162809.662 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
7 1787162809.662 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
7 1787162809.662 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
7 1787162809.662 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
7 1787162809.662 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
7 1787162809.662 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
7 1787162809.662 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
