ID TIME EVENT X Y XMIN XMAX YMIN YMAX
5 0.019 ENTER 2.665 1.631 -0.227 2.76 -0.227 2.76
5 33.142 EXIT 1.16 1.37 -0.227 2.76 -0.227 2.76
5 38.835 ENTER 1.237 1.3 -0.227 2.76 -0.227 2.76
5 40.402 EXIT 1.301 1.226 -0.227 2.76 -0.227 2.76
5 43.306 ENTER 1.16 1.379 -0.227 2.76 -0.227 2.76
5 51.591 EXIT 1.332 1.19 -0.227 2.76 -0.227 2.76
5 56.629 ENTER 1.17 1.37 -0.227 2.76 -0.227 2.76
5 78.562 EXIT 1.216 1.313 -0.227 2.76 -0.227 2.76
5 83.026 ENTER 1.206 1.328 -0.227 2.76 -0.227 2.76
5 84.062 EXIT 1.292 1.235 -0.227 2.76 -0.227 2.76
