ID TIME n private balances
4 1787161379.664 0 {} {}
4 1787161379.664 0 {} {}
4 1787161379.664 1 None {'4': 0}
4 1787161379.664 2 None {'4': 0, '3': 0}
4 1787161379.664 3 None {'4': 0, '3': 0, '2': 0}
4 1787161379.664 4 None {'4': 0, '3': 0, '2': 0}
4 1787161379.664 5 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.664 6 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.664 7 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 8 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 9 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 10 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 11 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 12 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 13 None {'4': 0, '3': 0, '2': 0, '1': 0}
4 1787161379.665 14 None {'4': 0, '3': 0, '2': 0, '1': 0, '5': 0}
4 1787161379.665 15 None {'4': 0, '3': 0, '2': 0, '1': 0, '5': 0}
