ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.932 4 blue 8
0 3.031 5 blue 37
0 4.773 2 blue 53
0 5.997 4 blue 77
0 7.332 2 blue 93
0 8.381 4 blue 109
0 10.951 5 blue 134
0 12.652 2 blue 166
0 14.677 3 blue 190
0 16.618 3 blue 229
0 18.245 1 blue 237
0 20.106 5 blue 269
0 21.929 4 blue 301
0 23.019 2 blue 325
0 24.268 1 blue 333
0 25.596 3 blue 365
0 27.227 4 blue 377
0 28.992 1 blue 409
0 30.339 5 blue 417
0 31.502 4 blue 433
0 33.383 4 blue 460
0 34.457 1 blue 484
0 35.751 5 blue 505
0 37.197 4 blue 529
0 38.705 3 blue 545
0 39.769 2 blue 553
0 40.829 4 blue 569
0 42.393 2 blue 577
0 44.807 4 blue 593
0 46.198 1 blue 617
