ID TIME n private balances
4 1786984378.456 0 {} {}
4 1786984378.456 3 None {'2': 0, '0': 0, '4': 0, '3': 0}
4 1786984378.456 4 None {'2': 3, '0': 0, '4': 0, '3': 0}
4 1786984378.456 5 None {'2': 3, '0': 0, '4': 0, '3': 0}
4 1786984378.456 10 None {'2': 3, '0': 0, '4': 0, '3': 0}
4 1786984378.456 14 None {'2': 3, '0': 0, '4': 4, '3': 0}
4 1786984378.456 15 None {'2': 3, '0': 0, '4': 7, '3': 0}
4 1786984378.457 20 None {'2': 3, '0': 0, '4': 7, '3': 0}
4 1786984378.457 23 None {'2': 3, '0': 0, '4': 11, '3': 0}
4 1786984378.457 28 None {'2': 3, '0': 0, '4': 11, '3': 2, '1': 0}
