ID TIME n private balances
2 1786976225.443 0 {} {}
2 1786976225.443 0 None {}
2 1786976225.443 3 None {'2': 0, '0': 0, '4': 0, '1': 0}
2 1786976225.444 7 None {'2': 2, '0': 0, '4': 0, '1': 0, '3': 0}
2 1786976225.444 11 None {'2': 2, '0': 0, '4': 3, '1': 0, '3': 0}
2 1786976225.444 14 None {'2': 2, '0': 0, '4': 3, '1': 0, '3': 3}
2 1786976225.444 17 None {'2': 4, '0': 0, '4': 3, '1': 0, '3': 3}
2 1786976225.444 19 None {'2': 4, '0': 0, '4': 5, '1': 0, '3': 3}
2 1786976225.444 23 None {'2': 4, '0': 0, '4': 5, '1': 0, '3': 4}
2 1786976225.444 25 None {'2': 7, '0': 0, '4': 5, '1': 0, '3': 4}
2 1786976225.444 28 None {'2': 7, '0': 0, '4': 6, '1': 0, '3': 4}
2 1786976225.444 31 None {'2': 7, '0': 0, '4': 6, '1': 0, '3': 6}
2 1786976225.444 35 None {'2': 9, '0': 0, '4': 6, '1': 0, '3': 6}
2 1786976225.444 38 None {'2': 9, '0': 0, '4': 9, '1': 0, '3': 6}
2 1786976225.444 42 None {'2': 9, '0': 0, '4': 9, '1': 0, '3': 8}
2 1786976225.444 45 None {'2': 12, '0': 0, '4': 9, '1': 0, '3': 8}
2 1786976225.444 48 None {'2': 12, '0': 0, '4': 11, '1': 0, '3': 8}
2 1786976225.444 50 None {'2': 12, '0': 0, '4': 11, '1': 0, '3': 10}
2 1786976225.444 56 None {'2': 13, '0': 0, '4': 11, '1': 0, '3': 10}
2 1786976225.444 60 None {'2': 13, '0': 0, '4': 11, '1': 5, '3': 10}
2 1786976225.444 64 None {'2': 13, '0': 0, '4': 11, '1': 5, '3': 13}
2 1786976225.444 67 None {'2': 16, '0': 0, '4': 11, '1': 5, '3': 13}
2 1786976225.444 71 None {'2': 16, '0': 0, '4': 11, '1': 7, '3': 13}
2 1786976225.444 75 None {'2': 16, '0': 0, '4': 11, '1': 7, '3': 16}
2 1786976225.445 78 None {'2': 16, '0': 0, '4': 14, '1': 7, '3': 16}
2 1786976225.445 82 None {'2': 16, '0': 0, '4': 14, '1': 9, '3': 16}
