ID TIME n private balances
3 1787161116.651 0 {} {}
3 1787161116.651 0 {} {}
3 1787161116.651 1 None {'3': 0}
3 1787161116.651 2 None {'3': 0, '5': 0}
3 1787161116.651 3 None {'3': 0, '5': 0}
3 1787161116.651 4 None {'3': 0, '5': 0, '1': 0}
3 1787161116.651 5 None {'3': 0, '5': 0, '1': 0}
3 1787161116.651 6 None {'3': 0, '5': 0, '1': 0}
3 1787161116.651 7 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 8 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 9 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 10 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 11 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 12 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 13 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 14 None {'3': 0, '5': 0, '1': 0, '2': 0}
3 1787161116.651 15 None {'3': 0, '5': 0, '1': 0, '2': 0}
