ID TIME n private balances
5 1787162809.669 0 {} {}
5 1787162809.669 0 None {}
5 1787162809.669 1 None {'9': 0}
5 1787162809.669 2 None {'9': 0, '4': 0}
5 1787162809.669 3 None {'9': 0, '4': 0, '1': 0}
5 1787162809.669 4 None {'9': 0, '4': 0, '1': 0}
5 1787162809.669 5 None {'9': 0, '4': 0, '1': 0}
5 1787162809.669 6 None {'9': 0, '4': 0, '1': 0}
5 1787162809.67 7 None {'9': 0, '4': 0, '1': 0}
5 1787162809.67 8 None {'9': 0, '4': 0, '1': 0}
5 1787162809.67 9 None {'9': 0, '4': 0, '1': 0}
5 1787162809.67 10 None {'9': 0, '4': 0, '1': 0}
5 1787162809.67 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
5 1787162809.67 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
5 1787162809.67 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
5 1787162809.67 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
5 1787162809.67 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
5 1787162809.67 16 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
5 1787162809.67 17 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0}
5 1787162809.671 18 None {'9': 0, '4': 0, '1': 0, '6': 0, '10': 0, '7': 0}
