ID TIME n private balances
2 1786984173.873 0 {} {}
2 1786984173.873 3 {} {'2': 0, '0': 0, '4': 0, '3': 0}
2 1786984173.873 8 None {'2': 3, '0': 0, '4': 0, '3': 0, '1': 0}
2 1786984173.874 9 None {'2': 3, '0': 0, '4': 0, '3': 4, '1': 0}
2 1786984173.874 10 None {'2': 3, '0': 0, '4': 0, '3': 4, '1': 0}
2 1786984173.874 12 None {'2': 3, '0': 0, '4': 0, '3': 4, '1': 0}
