ID TIME n private balances
1 1786984503.161 0 {} {}
1 1786984503.161 2 {} {'1': 0, '0': 0, '2': 0}
1 1786984503.161 5 None {'1': 2, '0': 0, '2': 0}
1 1786984503.161 6 None {'1': 2, '0': 0, '2': 2}
1 1786984503.161 9 None {'1': 2, '0': 0, '2': 2}
1 1786984503.161 12 None {'1': 4, '0': 0, '2': 2}
