ID TIME n private balances
3 1786984212.426 0 {} {}
3 1786984212.426 3 None {'4': 0, '0': 0, '2': 0, '3': 0}
3 1786984212.427 4 None {'4': 3, '0': 0, '2': 0, '3': 0}
3 1786984212.427 9 None {'4': 3, '0': 0, '2': 0, '3': 0}
3 1786984212.427 12 None {'4': 7, '0': 0, '2': 0, '3': 0}
3 1786984212.427 17 None {'4': 7, '0': 0, '2': 2, '3': 0, '1': 0}
3 1786984212.427 21 None {'4': 7, '0': 0, '2': 2, '3': 4, '1': 0}
