ID TIME ROBOT_ID QLTY QTTY TOTAL
0 6.861 4 blue 8
0 8.558 3 blue 32
0 9.998 16 blue 40
0 11.535 15 blue 56
0 13.569 4 blue 72
0 15.112 11 blue 103
0 17.488 6 blue 119
0 18.61 3 blue 127
0 19.661 8 blue 156
0 20.822 4 blue 180
0 23.228 9 blue 204
0 24.419 11 blue 212
0 25.55 7 blue 235
0 27.82 6 blue 237
0 29.427 18 blue 273
0 31.384 10 blue 289
0 32.486 12 blue 303
0 33.854 7 blue 327
0 36.172 14 blue 359
0 37.624 15 blue 383
0 38.878 5 blue 390
0 39.909 9 blue 406
0 41.639 2 blue 414
0 43.888 16 blue 437
0 46.427 1 blue 483
0 47.956 3 blue 499
0 49.359 5 blue 531
0 50.662 11 blue 555
0 52.751 16 blue 571
0 54.591 2 blue 579
0 56.401 4 blue 603
0 57.726 18 blue 611
0 59.883 8 blue 654
0 61.169 9 blue 674
0 62.712 12 blue 714
0 65.36 11 blue 722
0 66.835 7 blue 737
0 68.501 1 blue 753
0 69.915 20 blue 776
0 70.998 5 blue 797
0 73.897 15 blue 812
0 75.183 1 blue 834
0 76.435 14 blue 842
0 77.659 4 blue 874
0 79.721 9 blue 890
0 81.212 1 blue 906
0 82.488 16 blue 922
0 85.135 4 blue 937
0 87.312 3 blue 945
0 89.02 10 blue 969
0 90.801 15 blue 1001
0 93.069 18 blue 1017
0 94.299 2 blue 1041
0 95.91 8 blue 1069
0 97.328 9 blue 1085
0 98.387 5 blue 1093
0 99.647 11 blue 1109
0 100.654 3 blue 1117
0 101.81 8 blue 1132
0 102.981 17 blue 1156
0 105.225 12 blue 1164
0 107.313 13 blue 1196
0 108.525 9 blue 1204
0 110.046 19 blue 1220
0 112.842 11 blue 1244
0 114.156 4 blue 1268
0 115.327 10 blue 1284
0 117.15 7 blue 1292
0 119.531 14 blue 1316
0 121.53 15 blue 1324
