ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.388 4 blue 8
0 2.473 3 blue 32
0 3.484 4 blue 56
0 4.75 2 blue 72
0 5.76 3 blue 87
0 7.298 1 blue 111
0 8.483 4 blue 127
0 9.889 5 blue 159
0 11.19 1 blue 175
0 12.228 4 blue 207
0 13.39 5 blue 223
0 14.809 3 blue 247
0 16.082 1 blue 271
0 17.5 5 blue 285
0 18.624 3 blue 301
0 19.731 1 blue 325
0 20.944 4 blue 344
0 23.557 3 blue 364
0 24.937 5 blue 395
0 26.049 1 blue 408
0 27.306 3 blue 424
0 28.912 1 blue 448
0 29.982 5 blue 480
0 31.795 1 blue 496
0 32.999 4 blue 504
0 34.268 3 blue 522
0 36.191 1 blue 538
0 37.198 5 blue 554
0 38.41 4 blue 562
0 39.899 1 blue 594
0 41.426 3 blue 618
