ID TIME 
0 0.018 
0 0.043 
0 0.052 
0 0.059 
0 0.067 
0 0.075 
0 0.082 
0 0.091 
0 0.099 
0 0.106 
0 0.126 
0 0.134 
0 0.142 
0 0.15 
0 0.158 
0 0.166 
0 0.175 
0 0.183 
0 0.191 
0 0.199 
0 0.209 
0 0.218 
0 0.335 
0 0.343 
0 0.352 
0 0.36 
0 0.369 
0 0.378 
0 0.387 
0 0.396 
0 0.408 
0 0.417 
0 0.426 
0 0.435 
0 0.444 
0 0.455 
0 0.464 
0 0.473 
0 0.482 
0 0.491 
0 0.504 
0 0.515 
0 0.527 
0 0.618 
0 0.627 
0 0.637 
0 0.646 
0 0.656 
0 0.666 
0 0.676 
0 0.687 
0 0.697 
0 0.707 
0 0.717 
0 0.726 
0 0.736 
0 0.746 
0 0.756 
0 0.765 
0 0.775 
0 0.791 
0 0.801 
0 0.812 
0 0.822 
0 0.96 
0 0.976 
0 0.992 
0 1.008 
0 1.023 
0 1.038 
0 1.056 
0 1.071 
0 1.086 
0 1.101 
0 1.116 
0 1.131 
0 1.146 
0 1.161 
0 1.176 
0 1.191 
0 1.208 
0 1.223 
0 1.238 
0 1.253 
0 1.268 
0 1.413 
0 1.434 
0 1.455 
0 1.476 
0 1.496 
0 1.519 
0 1.54 
0 1.561 
0 1.581 
0 1.602 
0 1.623 
0 1.643 
0 1.664 
0 1.684 
0 1.708 
0 1.73 
0 1.75 
0 1.77 
0 1.79 
0 1.81 
0 1.831 
0 1.975 
0 1.992 
0 2.005 
0 2.018 
0 2.034 
0 2.049 
0 2.063 
0 2.078 
0 2.093 
0 2.107 
0 2.122 
0 2.136 
0 2.151 
0 2.166 
0 2.183 
0 2.197 
0 2.212 
0 2.226 
0 2.24 
0 2.254 
0 2.268 
0 2.383 
0 2.398 
0 2.412 
0 2.429 
0 2.443 
0 2.457 
0 2.472 
0 2.49 
0 2.505 
0 2.52 
0 2.535 
0 2.55 
0 2.565 
0 2.581 
0 2.596 
0 2.61 
0 2.625 
0 2.64 
0 2.654 
0 2.669 
0 2.684 
0 2.782 
0 2.799 
0 2.816 
0 2.832 
0 2.848 
0 2.864 
0 2.88 
0 2.896 
0 2.912 
0 2.928 
0 2.944 
0 2.96 
0 2.977 
0 2.993 
0 3.009 
0 3.025 
0 3.041 
0 3.056 
0 3.076 
0 3.092 
0 3.108 
0 3.217 
0 3.239 
0 3.257 
0 3.275 
0 3.293 
0 3.311 
0 3.33 
0 3.348 
0 3.367 
0 3.385 
0 3.404 
0 3.423 
0 3.441 
0 3.459 
0 3.477 
0 3.495 
0 3.513 
0 3.531 
0 3.549 
0 3.567 
0 3.586 
0 3.666 
0 3.683 
0 3.701 
0 3.72 
0 3.74 
0 3.756 
0 3.774 
0 3.793 
0 3.813 
0 3.833 
0 3.855 
0 3.875 
0 3.895 
0 3.915 
0 3.935 
0 3.955 
0 3.974 
0 3.994 
0 4.013 
0 4.033 
0 4.054 
0 4.147 
0 4.166 
0 4.185 
0 4.205 
0 4.226 
0 4.251 
0 4.272 
0 4.293 
0 4.314 
0 4.335 
0 4.356 
0 4.376 
0 4.396 
0 4.417 
0 4.437 
0 4.462 
0 4.482 
0 4.502 
0 4.522 
0 4.544 
0 4.564 
0 4.64 
0 4.66 
0 4.679 
0 4.699 
0 4.719 
0 4.74 
0 4.76 
0 4.78 
0 4.802 
0 4.822 
0 4.843 
0 4.863 
0 4.883 
0 4.907 
0 4.927 
0 4.948 
0 4.968 
0 4.989 
0 5.011 
0 5.032 
0 5.052 
0 5.117 
0 5.136 
0 5.156 
0 5.176 
0 5.197 
0 5.219 
0 5.24 
0 5.263 
0 5.284 
0 5.305 
0 5.326 
0 5.346 
0 5.367 
0 5.388 
0 5.409 
0 5.429 
0 5.458 
0 5.479 
0 5.501 
0 5.522 
0 5.543 
0 5.616 
0 5.636 
0 5.662 
0 5.683 
0 5.704 
0 5.726 
0 5.749 
0 5.771 
0 5.792 
0 5.813 
0 5.834 
0 5.855 
0 5.877 
0 5.898 
0 5.919 
0 5.94 
0 5.963 
0 5.984 
0 6.005 
0 6.026 
0 6.051 
0 6.154 
0 6.174 
0 6.194 
0 6.215 
0 6.236 
0 6.258 
0 6.278 
0 6.299 
0 6.319 
0 6.34 
0 6.36 
0 6.381 
0 6.402 
0 6.422 
0 6.443 
0 6.465 
0 6.486 
0 6.507 
0 6.527 
0 6.547 
0 6.568 
0 6.658 
0 6.678 
0 6.699 
0 6.72 
0 6.742 
0 6.763 
0 6.785 
0 6.806 
0 6.826 
0 6.847 
0 6.868 
0 6.889 
0 6.91 
0 6.93 
0 6.954 
0 6.974 
0 6.995 
0 7.016 
0 7.036 
0 7.057 
0 7.082 
0 7.169 
0 7.189 
0 7.209 
0 7.232 
0 7.253 
0 7.274 
0 7.295 
0 7.316 
0 7.337 
0 7.355 
0 7.372 
0 7.391 
0 7.41 
0 7.43 
0 7.449 
0 7.47 
0 7.488 
0 7.508 
0 7.534 
0 7.555 
0 7.575 
0 7.686 
0 7.706 
0 7.728 
0 7.748 
0 7.769 
0 7.789 
0 7.81 
0 7.83 
0 7.851 
0 7.871 
0 7.891 
0 7.912 
0 7.934 
0 7.955 
0 7.974 
0 7.994 
0 8.015 
0 8.035 
0 8.056 
0 8.075 
0 8.096 
0 8.192 
0 8.214 
0 8.234 
0 8.255 
0 8.275 
0 8.296 
0 8.316 
0 8.337 
0 8.358 
0 8.378 
0 8.398 
0 8.421 
0 8.441 
0 8.462 
0 8.482 
0 8.503 
0 8.523 
0 8.544 
0 8.565 
0 8.586 
0 8.606 
0 8.693 
0 8.713 
0 8.733 
0 8.753 
0 8.773 
0 8.793 
0 8.812 
0 8.832 
0 8.853 
0 8.872 
0 8.893 
0 8.918 
0 8.937 
0 8.956 
0 8.975 
0 9.0 
0 9.019 
0 9.038 
0 9.058 
0 9.077 
0 9.098 
0 9.2 
0 9.219 
0 9.238 
0 9.258 
0 9.276 
0 9.295 
0 9.314 
0 9.334 
0 9.354 
0 9.375 
0 9.395 
0 9.414 
0 9.434 
0 9.454 
0 9.474 
0 9.494 
0 9.513 
0 9.533 
0 9.553 
0 9.574 
0 9.593 
0 9.671 
0 9.689 
0 9.709 
0 9.729 
0 9.749 
0 9.769 
0 9.789 
0 9.809 
0 9.832 
0 9.852 
0 9.871 
0 9.891 
0 9.911 
0 9.931 
0 9.951 
0 9.971 
0 9.991 
0 10.011 
0 10.033 
0 10.053 
0 10.072 
0 10.15 
0 10.168 
0 10.187 
0 10.206 
0 10.225 
0 10.244 
0 10.264 
0 10.285 
0 10.307 
0 10.325 
0 10.345 
0 10.364 
0 10.384 
0 10.409 
0 10.429 
0 10.449 
0 10.468 
0 10.489 
0 10.509 
0 10.528 
0 10.547 
0 10.614 
0 10.632 
0 10.65 
0 10.668 
0 10.687 
0 10.705 
0 10.725 
0 10.744 
0 10.763 
0 10.782 
0 10.801 
0 10.82 
0 10.839 
0 10.858 
0 10.877 
0 10.895 
0 10.916 
0 10.941 
0 10.959 
0 10.978 
0 10.997 
0 11.061 
0 11.079 
0 11.099 
0 11.117 
0 11.136 
0 11.157 
0 11.176 
0 11.195 
0 11.214 
0 11.233 
0 11.252 
0 11.271 
0 11.29 
0 11.309 
0 11.328 
0 11.349 
0 11.373 
0 11.392 
0 11.41 
0 11.429 
0 11.447 
0 11.532 
0 11.55 
0 11.568 
0 11.587 
0 11.607 
0 11.625 
0 11.642 
0 11.66 
0 11.678 
0 11.696 
0 11.714 
0 11.732 
0 11.75 
0 11.768 
0 11.787 
0 11.805 
0 11.823 
0 11.841 
0 11.859 
0 11.876 
0 11.894 
0 11.941 
0 11.958 
0 11.976 
0 12.001 
0 12.019 
0 12.037 
0 12.056 
0 12.074 
0 12.092 
0 12.11 
0 12.128 
0 12.146 
0 12.165 
0 12.185 
0 12.202 
0 12.22 
0 12.239 
0 12.257 
0 12.274 
0 12.293 
0 12.31 
0 12.401 
0 12.419 
0 12.439 
0 12.458 
0 12.477 
0 12.496 
0 12.514 
0 12.539 
0 12.558 
0 12.578 
0 12.596 
0 12.616 
0 12.635 
0 12.654 
0 12.673 
0 12.692 
0 12.711 
0 12.73 
0 12.75 
0 12.768 
0 12.788 
0 12.844 
