ID TIME n private balances
8 1787162809.659 0 {} {}
8 1787162809.659 0 None {}
8 1787162809.659 1 None {'9': 0}
8 1787162809.659 2 None {'9': 0, '4': 0}
8 1787162809.659 3 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 4 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 5 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 6 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 7 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 8 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 9 None {'9': 0, '4': 0, '1': 0}
8 1787162809.659 10 None {'9': 0, '4': 0, '1': 0}
8 1787162809.66 11 None {'9': 0, '4': 0, '1': 0, '6': 0}
8 1787162809.66 12 None {'9': 0, '4': 0, '1': 0, '6': 0}
8 1787162809.66 13 None {'9': 0, '4': 0, '1': 0, '6': 0}
8 1787162809.66 14 None {'9': 0, '4': 0, '1': 0, '6': 0}
8 1787162809.66 15 None {'9': 0, '4': 0, '1': 0, '6': 0}
