ID TIME n private balances
2 1786984368.683 0 {} {}
2 1786984368.684 3 None {'1': 0, '0': 0, '2': 0, '4': 0}
2 1786984368.684 6 None {'1': 3, '0': 0, '2': 0, '4': 0}
2 1786984368.684 7 None {'1': 3, '0': 0, '2': 2, '4': 0}
2 1786984368.684 8 None {'1': 3, '0': 0, '2': 2, '4': 0}
2 1786984368.684 9 None {'1': 3, '0': 0, '2': 2, '4': 0}
2 1786984368.684 20 None {'1': 3, '0': 0, '2': 2, '4': 0, '3': 0}
2 1786984368.684 25 None {'1': 3, '0': 0, '2': 12, '4': 0, '3': 0}
