ID TIME n private balances
2 1786984232.517 0 {} {}
2 1786984232.517 4 {} {'2': 0, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 5 {} {'2': 4, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 6 {} {'2': 4, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 13 {} {'2': 4, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 17 {} {'2': 10, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 20 {} {'2': 13, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 21 {} {'2': 15, '0': 0, '3': 0, '4': 0, '1': 0}
2 1786984232.517 26 {} {'2': 15, '0': 0, '3': 0, '4': 0, '1': 0}
