ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.697 4 blue 8
0 3.262 4 blue 48
0 4.329 3 blue 72
0 5.695 3 blue 100
0 7.107 4 blue 132
0 8.182 2 blue 156
0 9.495 3 blue 188
0 10.932 4 blue 212
0 11.935 2 blue 244
0 13.326 1 blue 260
0 15.312 4 blue 299
0 16.383 2 blue 323
0 17.533 1 blue 347
0 18.938 2 blue 371
0 20.043 3 blue 403
0 21.232 4 blue 430
0 22.794 4 blue 454
0 24.228 2 blue 494
0 25.232 3 blue 526
0 26.681 5 blue 542
0 28.459 3 blue 582
0 29.934 4 blue 614
0 31.322 2 blue 646
0 32.85 2 blue 686
