ID TIME ROBOT_ID QLTY QTTY TOTAL
0 1.245 4 blue 8
0 2.414 1 blue 39
0 3.809 4 blue 77
0 4.965 5 blue 109
0 6.445 2 blue 130
0 7.92 2 blue 160
0 9.051 5 blue 184
0 10.099 2 blue 200
0 11.954 1 blue 224
0 13.194 5 blue 240
0 14.604 3 blue 272
0 16.095 2 blue 296
0 18.061 2 blue 328
0 20.049 5 blue 365
0 21.482 5 blue 378
0 23.009 2 blue 410
0 24.853 3 blue 418
0 26.013 2 blue 431
0 27.677 1 blue 447
0 29.006 4 blue 471
0 30.522 3 blue 484
0 31.862 1 blue 506
0 33.17 4 blue 535
0 34.182 2 blue 551
0 35.473 3 blue 567
0 36.576 1 blue 583
0 37.956 5 blue 607
0 39.688 1 blue 615
0 41.273 4 blue 646
0 42.302 2 blue 670
