ID TIME n private balances
5 1787133745.882 0 {} {}
5 1787133745.882 0 None {}
5 1787133745.882 1 None {'1': 0}
5 1787133745.882 2 None {'1': 0, '2': 0}
5 1787133745.882 3 None {'1': 0, '2': 0, '3': 0}
5 1787133745.882 4 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787133745.882 5 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787133745.882 6 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787133745.882 7 None {'1': 0, '2': 0, '3': 0, '4': 0}
5 1787133745.883 8 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 9 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 10 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 11 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 12 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 13 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 14 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 15 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.883 16 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 17 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 18 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 19 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 20 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 21 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 22 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 23 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.884 24 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 25 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 26 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 27 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 28 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 29 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 30 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 31 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 32 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.885 33 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 34 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 35 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 36 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 37 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 38 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 39 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 40 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 41 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.886 42 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 43 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 44 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 45 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 46 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 47 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 48 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 49 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 50 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.887 51 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.888 52 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.888 53 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
5 1787133745.888 54 None {'1': 0, '2': 0, '3': 0, '4': 0, '5': 0}
