ID TIME n private balances
4 1786984281.75 0 {} {}
4 1786984281.75 2 None {'3': 0, '0': 0, '2': 0}
4 1786984281.75 5 None {'3': 2, '0': 0, '2': 0, '4': 0}
4 1786984281.75 9 None {'3': 4, '0': 0, '2': 0, '4': 0}
4 1786984281.75 11 None {'3': 7, '0': 0, '2': 0, '4': 0}
4 1786984281.75 14 None {'3': 8, '0': 0, '2': 0, '4': 0}
4 1786984281.751 16 None {'3': 8, '0': 0, '2': 0, '4': 2}
4 1786984281.751 17 None {'3': 8, '0': 0, '2': 0, '4': 3}
4 1786984281.751 24 None {'3': 8, '0': 0, '2': 0, '4': 3, '1': 0}
4 1786984281.751 31 None {'3': 8, '0': 0, '2': 0, '4': 9, '1': 0}
4 1786984281.751 35 None {'3': 8, '0': 0, '2': 0, '4': 9, '1': 6}
