ID TIME n private balances
1 1786984302.045 0 {} {}
1 1786984302.045 2 {} {'1': 0, '0': 0, '2': 0}
1 1786984302.045 7 {} {'1': 2, '0': 0, '2': 0, '4': 0, '3': 0}
1 1786984302.045 11 {} {'1': 6, '0': 0, '2': 0, '4': 0, '3': 0}
1 1786984302.045 15 {} {'1': 9, '0': 0, '2': 0, '4': 0, '3': 0}
1 1786984302.045 19 None {'1': 12, '0': 0, '2': 0, '4': 0, '3': 0}
1 1786984302.045 23 None {'1': 12, '0': 0, '2': 3, '4': 0, '3': 0}
1 1786984302.045 27 None {'1': 12, '0': 0, '2': 3, '4': 3, '3': 0}
