ID TIME n private balances
3 1786984242.542 0 {} {}
3 1786984242.542 4 {} {'3': 0, '0': 0, '2': 0, '1': 0, '4': 0}
3 1786984242.542 8 {} {'3': 4, '0': 0, '2': 0, '1': 0, '4': 0}
3 1786984242.542 11 {} {'3': 7, '0': 0, '2': 0, '1': 0, '4': 0}
3 1786984242.542 16 None {'3': 9, '0': 0, '2': 0, '1': 0, '4': 0}
3 1786984242.542 19 None {'3': 9, '0': 0, '2': 0, '1': 0, '4': 4}
3 1786984242.542 24 None {'3': 9, '0': 0, '2': 0, '1': 0, '4': 6}
3 1786984242.542 27 None {'3': 13, '0': 0, '2': 0, '1': 0, '4': 6}
3 1786984242.543 30 None {'3': 13, '0': 0, '2': 0, '1': 2, '4': 6}
3 1786984242.543 33 None {'3': 13, '0': 0, '2': 0, '1': 4, '4': 6}
